SampleID,Rep,DateStart,RichLevel,Inhibitory,qPCR_bact_log10,CV_log10,Richness,inhibRich,inhibRichFrac,inhibProp,inhibReads,shannon,qPCR_bact_log10_inhib,Inhib,inhibProp_raw,inhibRichFrac_raw,Bd_micro_log10,Bd_qPCR_log10,Centre_qPCR_bact_log10,Centre_CV_log10,Centre_Richness,Centre_inhibRich,Centre_inhibRichFrac,Centre_inhibProp,Centre_inhibReads,Centre_shannon,Centre_qPCR_bact_log10_inhib
Non_2020-09-28_3_Rep10,Rep10,2020-09-28,3,0,1.612832994,0.9075051794,0.7027027027,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.06982548485,-0.08500091972,0,0,0,0,1.5633004,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-28_10_Rep10,Rep10,2020-09-28,10,0,1.441351518,0.8482287166,2.702702703,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,0.5448529452,-0.08500091972,0,0,0,0,1.876630798,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Con_2020-10-05_0_Rep11,Rep11,2020-10-05,0,0,-2.936251197,-0.9733783795,-2.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,3.049622361,2.506575986,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-10-05_1_Rep11,Rep11,2020-10-05,1,1,0.6906528172,0.9340987918,-1.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,0,2.132942525,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-10-05_3_Rep11,Rep11,2020-10-05,3,1,0.7506796648,0.9214122356,-0.2972972973,0.3108108108,0.2459459459,0.1263890797,0.1338658727,0.1765462521,0.06055840073,1,0.3995458954,0.5,0,1.069405638,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-10-05_10_Rep11,Rep11,2020-10-05,10,1,1.06869368,0.319690893,-0.2972972973,0.3108108108,0.2459459459,0.1025320012,0.05882924777,0.1205607641,0.03660200831,1,0.3756888169,0.5,0.8695817518,1.990976312,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-10-05_1_Rep11,Rep11,2020-10-05,1,0,-1.038828827,-0.6609764788,-1.297297297,-0.6891891892,-0.2540540541,-0.0619911758,-0.06131763039,-0.4945882851,-0.004740933002,0,0.2111656399,0,2.489236021,4.460144848,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-10-05_3_Rep11,Rep11,2020-10-05,3,0,1.067819979,-0.4087847721,0.7027027027,0.3108108108,0.07927927928,0.4094635142,0.4115422545,0.2725020642,0.1392327366,1,0.6826203299,0.3333333333,2.094523038,2.785418039,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-10-05_10_Rep11,Rep11,2020-10-05,10,0,1.655965861,0.8477472964,1.702702703,0.3108108108,-0.004054054054,0.05275427144,0.06095750966,0.6871241877,0.03730001149,1,0.3259110871,0.25,0,1.48156685,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Con_2020-10-05_0_Rep12,Rep12,2020-10-05,0,0,-3.72089626,-0.6309556987,-2.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,2.373544957,4.767765621,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
